Date_Confirmed,AGUASCALIENTES,BAJA CALIFORNIA,"BAJA CALIFORNIA
SUR",BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN,MORELOS,MÉXICO,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS
2/27/2020,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2/29/2020,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2020,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2020,,,,,,,,4.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
3/12/2020,,,,,,,,,,,1.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,
3/13/2020,,,,,,,,10.0,,,,,,,,,,,,,,1.0,4.0,1.0,,,,,,,,1.0,
3/14/2020,,,,,,,,16.0,,,,,,,2.0,,,3.0,,3.0,1.0,3.0,,,1.0,,,,,,,,
3/15/2020,,,,,,,,17.0,,,2.0,,2.0,,,,,,,5.0,2.0,4.0,6.0,,2.0,2.0,,,,,,,
3/16/2020,1.0,,,,,,,20.0,,,3.0,,,,,,,8.0,,13.0,,8.0,7.0,4.0,,,,,,,,4.0,
3/17/2020,,,,,,,1.0,,,,,1.0,,,5.0,,,9.0,,14.0,,9.0,,,,,1.0,,1.0,,,5.0,
3/18/2020,,2.0,,,,,,23.0,,1.0,,4.0,,,6.0,,,,,19.0,,,,6.0,3.0,,,1.0,2.0,,2.0,8.0,
3/19/2020,4.0,,,,,2.0,,30.0,,,,,4.0,2.0,22.0,,,,,,,11.0,9.0,,7.0,3.0,2.0,,,,,13.0,
3/20/2020,,4.0,,,,,2.0,31.0,,,4.0,,,,28.0,,2.0,13.0,,29.0,,14.0,11.0,11.0,,,,2.0,,,4.0,,
3/21/2020,,8.0,,1.0,,,,45.0,3.0,2.0,5.0,,,3.0,32.0,,,,1.0,32.0,,16.0,14.0,12.0,9.0,,,4.0,3.0,,7.0,14.0,1.0
3/22/2020,,11.0,,,1.0,,5.0,56.0,10.0,,,,,5.0,41.0,3.0,,21.0,,35.0,3.0,,,,12.0,4.0,4.0,5.0,4.0,,,19.0,2.0
3/23/2020,6.0,13.0,,2.0,2.0,,,60.0,12.0,,,7.0,5.0,7.0,46.0,7.0,,,,40.0,4.0,,16.0,21.0,16.0,,,6.0,5.0,,,,3.0
3/24/2020,,,,,,,6.0,66.0,,,,12.0,6.0,,,8.0,,,,52.0,,22.0,,22.0,,,,,,,,24.0,
3/25/2020,12.0,14.0,,5.0,,4.0,,82.0,,,,19.0,7.0,,,10.0,,25.0,4.0,,7.0,34.0,18.0,,17.0,,,,6.0,1.0,,29.0,
3/26/2020,13.0,19.0,2.0,,,,,83.0,13.0,,,23.0,,12.0,65.0,11.0,4.0,45.0,,57.0,8.0,45.0,21.0,29.0,18.0,8.0,7.0,17.0,,,,32.0,4.0
3/27/2020,19.0,20.0,,7.0,,7.0,,108.0,14.0,,7.0,31.0,,,78.0,16.0,,69.0,5.0,64.0,11.0,51.0,23.0,,19.0,9.0,8.0,21.0,,4.0,17.0,36.0,
3/28/2020,,,,,3.0,,,178.0,15.0,,,37.0,10.0,,83.0,17.0,,84.0,,,12.0,52.0,25.0,33.0,20.0,14.0,10.0,27.0,,,23.0,38.0,
3/29/2020,24.0,23.0,,9.0,,11.0,,197.0,32.0,,,,13.0,17.0,84.0,,6.0,118.0,,67.0,14.0,66.0,26.0,38.0,24.0,19.0,14.0,33.0,7.0,,24.0,41.0,5.0
3/30/2020,,27.0,,11.0,,12.0,,206.0,39.0,,,43.0,,,91.0,,,135.0,6.0,75.0,,76.0,27.0,43.0,25.0,24.0,17.0,38.0,8.0,,26.0,46.0,6.0
3/31/2020,36.0,35.0,,15.0,5.0,14.0,7.0,234.0,44.0,,,46.0,15.0,19.0,95.0,21.0,7.0,148.0,,76.0,,81.0,29.0,47.0,,27.0,,48.0,,,27.0,49.0,
3/6/2020,,,,,,,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,
3/7/2020,,,,,,,,235.0,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2020,,37.0,,16.0,,16.0,11.0,298.0,57.0,3.0,,49.0,17.0,21.0,101.0,24.0,9.0,163.0,8.0,78.0,22.0,97.0,,51.0,31.0,32.0,18.0,52.0,9.0,5.0,28.0,52.0,
