Date_Confirmed,Region,total,daily
2020-01-28,US,3.0,1.0
2020-01-28,United Kingdom,0.0,0.0
2020-01-28,Switzerland,0.0,0.0
2020-01-28,"Korea, South",2.0,0.0
2020-01-28,Italy,0.0,0.0
2020-01-28,India,0.0,0.0
2020-01-28,Australia,0.0,0.0
2020-01-28,Mexico,0.0,0.0
2020-01-29,US,4.0,1.0
2020-01-29,United Kingdom,0.0,0.0
2020-01-29,Switzerland,0.0,0.0
2020-01-29,"Korea, South",3.0,0.0
2020-01-29,Italy,0.0,0.0
2020-01-29,India,0.0,0.0
2020-01-29,Australia,0.0,0.0
2020-01-29,Mexico,0.0,0.0
2020-01-30,US,4.0,1.0
2020-01-30,United Kingdom,0.0,0.0
2020-01-30,Switzerland,0.0,0.0
2020-01-30,"Korea, South",3.0,0.0
2020-01-30,Italy,0.0,0.0
2020-01-30,India,0.0,0.0
2020-01-30,Australia,1.0,0.0
2020-01-30,Mexico,0.0,0.0
2020-01-31,US,5.0,1.0
2020-01-31,United Kingdom,0.0,0.0
2020-01-31,Switzerland,0.0,0.0
2020-01-31,"Korea, South",5.0,1.0
2020-01-31,Italy,0.0,0.0
2020-01-31,India,0.0,0.0
2020-01-31,Australia,1.0,0.0
2020-01-31,Mexico,0.0,0.0
2020-02-01,US,6.0,1.0
2020-02-01,United Kingdom,0.0,0.0
2020-02-01,Switzerland,0.0,0.0
2020-02-01,"Korea, South",6.0,1.0
2020-02-01,Italy,1.0,0.0
2020-02-01,India,0.0,0.0
2020-02-01,Australia,1.0,0.0
2020-02-01,Mexico,0.0,0.0
2020-02-02,US,6.0,0.0
2020-02-02,United Kingdom,0.0,0.0
2020-02-02,Switzerland,0.0,0.0
2020-02-02,"Korea, South",8.0,2.0
2020-02-02,Italy,1.0,0.0
2020-02-02,India,1.0,0.0
2020-02-02,Australia,1.0,0.0
2020-02-02,Mexico,0.0,0.0
2020-02-03,US,7.0,1.0
2020-02-03,United Kingdom,0.0,0.0
2020-02-03,Switzerland,0.0,0.0
2020-02-03,"Korea, South",9.0,2.0
2020-02-03,Italy,1.0,0.0
2020-02-03,India,1.0,0.0
2020-02-03,Australia,1.0,0.0
2020-02-03,Mexico,0.0,0.0
2020-02-04,US,8.0,1.0
2020-02-04,United Kingdom,0.0,0.0
2020-02-04,Switzerland,0.0,0.0
2020-02-04,"Korea, South",11.0,2.0
2020-02-04,Italy,1.0,0.0
2020-02-04,India,2.0,0.0
2020-02-04,Australia,2.0,0.0
2020-02-04,Mexico,0.0,0.0
2020-02-05,US,9.0,1.0
2020-02-05,United Kingdom,0.0,0.0
2020-02-05,Switzerland,0.0,0.0
2020-02-05,"Korea, South",13.0,2.0
2020-02-05,Italy,2.0,0.0
2020-02-05,India,2.0,0.0
2020-02-05,Australia,2.0,0.0
2020-02-05,Mexico,0.0,0.0
2020-02-06,US,10.0,1.0
2020-02-06,United Kingdom,0.0,0.0
2020-02-06,Switzerland,0.0,0.0
2020-02-06,"Korea, South",16.0,3.0
2020-02-06,Italy,2.0,0.0
2020-02-06,India,2.0,0.0
2020-02-06,Australia,2.0,0.0
2020-02-06,Mexico,0.0,0.0
2020-02-07,US,10.0,1.0
2020-02-07,United Kingdom,0.0,0.0
2020-02-07,Switzerland,0.0,0.0
2020-02-07,"Korea, South",18.0,2.0
2020-02-07,Italy,2.0,0.0
2020-02-07,India,3.0,0.0
2020-02-07,Australia,2.0,0.0
2020-02-07,Mexico,0.0,0.0
2020-02-08,US,11.0,0.0
2020-02-08,United Kingdom,0.0,0.0
2020-02-08,Switzerland,0.0,0.0
2020-02-08,"Korea, South",19.0,2.0
2020-02-08,Italy,2.0,0.0
2020-02-08,India,3.0,0.0
2020-02-08,Australia,2.0,0.0
2020-02-08,Mexico,0.0,0.0
2020-02-09,US,11.0,0.0
2020-02-09,United Kingdom,0.0,0.0
2020-02-09,Switzerland,0.0,0.0
2020-02-09,"Korea, South",21.0,1.0
2020-02-09,Italy,2.0,0.0
2020-02-09,India,3.0,0.0
2020-02-09,Australia,2.0,0.0
2020-02-09,Mexico,0.0,0.0
2020-02-10,US,11.0,0.0
2020-02-10,United Kingdom,0.0,0.0
2020-02-10,Switzerland,0.0,0.0
2020-02-10,"Korea, South",23.0,2.0
2020-02-10,Italy,3.0,0.0
2020-02-10,India,3.0,0.0
2020-02-10,Australia,2.0,0.0
2020-02-10,Mexico,0.0,0.0
2020-02-11,US,11.0,0.0
2020-02-11,United Kingdom,0.0,0.0
2020-02-11,Switzerland,0.0,0.0
2020-02-11,"Korea, South",24.0,2.0
2020-02-11,Italy,3.0,0.0
2020-02-11,India,3.0,0.0
2020-02-11,Australia,2.0,0.0
2020-02-11,Mexico,0.0,0.0
2020-02-12,US,11.0,0.0
2020-02-12,United Kingdom,0.0,0.0
2020-02-12,Switzerland,0.0,0.0
2020-02-12,"Korea, South",26.0,1.0
2020-02-12,Italy,3.0,0.0
2020-02-12,India,3.0,0.0
2020-02-12,Australia,2.0,0.0
2020-02-12,Mexico,0.0,0.0
2020-02-13,US,12.0,0.0
2020-02-13,United Kingdom,1.0,0.0
2020-02-13,Switzerland,0.0,0.0
2020-02-13,"Korea, South",26.0,1.0
2020-02-13,Italy,3.0,0.0
2020-02-13,India,3.0,0.0
2020-02-13,Australia,2.0,0.0
2020-02-13,Mexico,0.0,0.0
2020-02-14,US,12.0,0.0
2020-02-14,United Kingdom,1.0,0.0
2020-02-14,Switzerland,0.0,0.0
2020-02-14,"Korea, South",27.0,1.0
2020-02-14,Italy,3.0,0.0
2020-02-14,India,3.0,0.0
2020-02-14,Australia,2.0,0.0
2020-02-14,Mexico,0.0,0.0
2020-02-15,US,12.0,0.0
2020-02-15,United Kingdom,1.0,0.0
2020-02-15,Switzerland,0.0,0.0
2020-02-15,"Korea, South",27.0,1.0
2020-02-15,Italy,3.0,0.0
2020-02-15,India,3.0,0.0
